OBJECTID,name,area,area1,Zone_,Shape_Leng,Shape_Area,toshavim,iq_index_school_IQ_INDEX_0-4,iq_index_school_IQ_INDEX_5-9,iq_index_school_IQ_INDEX_10-14,iq_index_school_IQ_INDEX_15-19,OBJECTID_2,SEMEL_YISH,STAT11,YISHUV_STA,SHEM_YISHU,SHEM_YIS_1,Stat11_Uni,Stat11_Ref,Main_Funct,Main_Fun_1,Religion_y,Religion_1,Religion_S,Religion_2,Pop_Total,Male_Total,Female_Tot,age_0_14,age_15_19,age_20_29,age_30_64,age_65_up,SHAPE_Leng_2,SHAPE_Area_2,IQ_0_4,IQ_INDEX_0-4,IQ_INDEX_5-9,IQ_INDEX_10-14,IQ_INDEX_15-19
"11",מגד,409.84000000000,דונם 409.84,"5.1",2564.58858872000,409843.68815000000,"2398",0.88,0.95,1.02,1,"3043","8700","14","87000014",רעננה,RA'ANNANA,"14",,"1",מגורים,"1",יהודי,"0",,2656.00000000000,1319.00000000000,1337.00000000000,516.00000000000,200.00000000000,392.00000000000,1117.00000000000,431.00000000000,2708.38609422000,412534.11305500002,,67%,77%,108%,101%
"11",מגד,409.84000000000,דונם 409.84,"5.1",2564.58858872000,409843.68815000000,"2398",0.88,0.95,1.02,1,"3044","8700","15","87000015",רעננה,RA'ANNANA,"15",,"1",מגורים,"1",יהודי,"0",,2215.00000000000,1041.00000000000,1173.00000000000,547.00000000000,131.00000000000,299.00000000000,821.00000000000,419.00000000000,1949.20710958000,172233.28878599999,,111%,116%,94%,83%
"11",מגד,409.84000000000,דונם 409.84,"5.1",2564.58858872000,409843.68815000000,"2398",0.88,0.95,1.02,1,"3045","8700","16","87000016",רעננה,RA'ANNANA,"16",,"1",מגורים,"1",יהודי,"0",,2957.00000000000,1413.00000000000,1545.00000000000,699.00000000000,184.00000000000,318.00000000000,1176.00000000000,582.00000000000,1957.77160252000,165708.20027299999,,91%,106%,107%,97%
"11",מגד,409.84000000000,דונם 409.84,"5.1",2564.58858872000,409843.68815000000,"2398",0.88,0.95,1.02,1,"3046","8700","17","87000017",רעננה,RA'ANNANA,"17",,"1",מגורים,"1",יהודי,"0",,3463.00000000000,1630.00000000000,1833.00000000000,795.00000000000,226.00000000000,393.00000000000,1400.00000000000,649.00000000000,2116.68579002000,204309.73191000000,,108%,100%,94%,93%
"11",מגד,409.84000000000,דונם 409.84,"5.1",2564.58858872000,409843.68815000000,"2398",0.88,0.95,1.02,1,"3047","8700","18","87000018",רעננה,RA'ANNANA,"18",,"1",מגורים,"1",יהודי,"0",,2393.00000000000,1155.00000000000,1238.00000000000,489.00000000000,145.00000000000,272.00000000000,959.00000000000,528.00000000000,2006.43300439000,158250.65259400001,,110%,100%,81%,87%
"11",מגד,409.84000000000,דונם 409.84,"5.1",2564.58858872000,409843.68815000000,"2398",0.88,0.95,1.02,1,"3048","8700","19","87000019",רעננה,RA'ANNANA,"19",,"1",מגורים,"1",יהודי,"0",,2320.00000000000,1117.00000000000,1203.00000000000,515.00000000000,113.00000000000,242.00000000000,919.00000000000,531.00000000000,1797.17433906000,145060.68907500000,,107%,96%,85%,73%
"11",מגד,409.84000000000,דונם 409.84,"5.1",2564.58858872000,409843.68815000000,"2398",0.88,0.95,1.02,1,"3059","8700","33","87000033",רעננה,RA'ANNANA,"33",,"1",מגורים,"1",יהודי,"0",,3898.00000000000,1940.00000000000,1958.00000000000,701.00000000000,303.00000000000,737.00000000000,1512.00000000000,646.00000000000,4396.81919317000,866925.36582399998,,74%,80%,80%,113%
"11",מגד,409.84000000000,דונם 409.84,"5.1",2564.58858872000,409843.68815000000,"2398",0.88,0.95,1.02,1,"3060","8700","34","87000034",רעננה,RA'ANNANA,"34",,"1",מגורים,"1",יהודי,"0",,3828.00000000000,1835.00000000000,1993.00000000000,856.00000000000,231.00000000000,424.00000000000,1529.00000000000,787.00000000000,2133.58519189000,243682.45984800000,,94%,99%,101%,87%
"11",מגד,409.84000000000,דונם 409.84,"5.1",2564.58858872000,409843.68815000000,"2398",0.88,0.95,1.02,1,"3061","8700","35","87000035",רעננה,RA'ANNANA,"35",,"1",מגורים,"1",יהודי,"0",,3259.00000000000,1575.00000000000,1685.00000000000,729.00000000000,214.00000000000,379.00000000000,1341.00000000000,596.00000000000,1811.98216031000,200093.11418199999,,93%,100%,97%,98%
"11",מגד,409.84000000000,דונם 409.84,"5.1",2564.58858872000,409843.68815000000,"2398",0.88,0.95,1.02,1,"3062","8700","36","87000036",רעננה,RA'ANNANA,"36",,"1",מגורים,"1",יהודי,"0",,2356.00000000000,1147.00000000000,1208.00000000000,480.00000000000,178.00000000000,306.00000000000,919.00000000000,473.00000000000,4132.86962039000,729227.35915200005,,81%,88%,107%,108%
"6",ברטוב,865.60000000000,דונם 865.6,"2",2749.80451020000,302911.35893699998,"5585",1.09,1,0.9,0.91,"3041","8700","12","87000012",רעננה,RA'ANNANA,"12",,"1",מגורים,"1",יהודי,"0",,2484.00000000000,1272.00000000000,1211.00000000000,526.00000000000,199.00000000000,301.00000000000,1015.00000000000,444.00000000000,3161.77359693000,538724.65105200000,,103%,87%,102%,109%
"6",ברטוב,865.60000000000,דונם 865.6,"2",2749.80451020000,302911.35893699998,"5585",1.09,1,0.9,0.91,"3042","8700","13","87000013",רעננה,RA'ANNANA,"13",,"1",מגורים,"1",יהודי,"0",,3780.00000000000,1856.00000000000,1924.00000000000,936.00000000000,314.00000000000,499.00000000000,1498.00000000000,532.00000000000,3497.99007697000,528125.70140200004,,80%,108%,127%,116%
